Player,Team,Season,Season Type,Games,Distance Per Game,Distance Per 36 min,Avg. Speed,Touches Per 36 min,Pass Per 36 min,Secondary Assists Per 36 min,FT Assists Per 36 min,Off. Reb Success Rate,Def. Reb Success Rate,Contested FG %,Uncontested FG %,Uncontested FG Usage,FGs Defended at Rim %
Luol Deng,Heat,2014-2015,REG,71,2.306,2.469,4.116,46.068,30.244,0.422,0.166,0.541,0.604,0.522,0.407,0.438,0.606
Dwyane Wade,Heat,2014-2015,REG,61,2.082,2.345,3.909,71.705,43.056,0.924,0.776,0.552,0.611,0.478,0.451,0.268,0.576
Chris Andersen,Heat,2014-2015,REG,59,1.242,2.376,3.959,47.663,36.185,0.389,0.13,0.507,0.604,0.582,0.571,0.284,0.495
James Ennis,Heat,2014-2015,REG,61,1.224,2.608,4.347,39.024,26.307,0.28,0.314,0.481,0.559,0.427,0.4,0.542,0.519
Michael Beasley,Heat,2014-2015,REG,24,1.413,2.418,4.03,62.256,41.219,0.642,0.143,0.571,0.621,0.5,0.354,0.453,0.488
Shannon Brown,Heat,2014-2015,REG,5,1.086,2.202,3.67,31.634,22.711,0.406,0.406,0,0.333,0.125,0.714,0.467,0.667
Henry Walker,Heat,2014-2015,REG,24,1.599,2.202,3.669,54.037,42.851,0.23,0.115,0.438,0.577,0.265,0.402,0.676,0.588
Josh McRoberts,Heat,2014-2015,REG,17,1.207,2.497,4.161,65.211,53.045,0.852,0.243,0.333,0.481,0.56,0.5,0.528,0.523
Adreian Payne,"Hawks, Timberwolves",2014-2015,REG,32,1.592,2.48,4.133,61.182,45.801,0.389,0.195,0.522,0.606,0.444,0.375,0.436,0.585
Al Horford,Hawks,2014-2015,REG,76,1.977,2.333,3.888,67.675,48.823,1.056,0.388,0.668,0.652,0.568,0.507,0.535,0.497
Kent Bazemore,Hawks,2014-2015,REG,75,1.297,2.647,4.412,51.39,37.597,0.707,0.136,0.553,0.636,0.421,0.43,0.52,0.514
Pero Antic,Hawks,2014-2015,REG,63,1.078,2.356,3.927,54.313,39.702,0.312,0.174,0.504,0.522,0.4,0.346,0.642,0.492
Dennis Schroder,Hawks,2014-2015,REG,77,1.402,2.564,4.273,94.745,69.789,2.137,0.38,0.537,0.597,0.427,0.428,0.421,0.558
Mike Muscala,Hawks,2014-2015,REG,40,0.917,2.63,4.384,67.751,52.767,0.717,0.143,0.571,0.479,0.597,0.506,0.523,0.413
Paul Millsap,Hawks,2014-2015,REG,73,2.182,2.4,4,67.781,47.05,0.874,0.181,0.456,0.586,0.494,0.451,0.412,0.552
Kyle Korver,Hawks,2014-2015,REG,75,2.285,2.551,4.252,43.398,30.981,0.73,0.164,0.625,0.549,0.441,0.516,0.586,0.544
Mike Scott,Hawks,2014-2015,REG,68,1.153,2.512,4.187,59.525,41.574,0.801,0.16,0.625,0.608,0.445,0.441,0.571,0.473
Elton Brand,Hawks,2014-2015,REG,36,0.887,2.369,3.948,58.05,47.3,0.445,0.222,0.483,0.571,0.407,0.456,0.716,0.482
Thabo Sefolosha,Hawks,2014-2015,REG,52,1.278,2.452,4.087,57.038,43.387,0.996,0.148,0.564,0.726,0.464,0.362,0.481,0.438
DeMarre Carroll,Hawks,2014-2015,REG,70,2.116,2.437,4.061,55.778,40.744,0.971,0.066,0.45,0.582,0.503,0.474,0.529,0.563
John Jenkins,Hawks,2014-2015,REG,24,0.879,2.555,4.259,52.343,35.744,0.364,0.364,0.667,0.578,0.556,0.46,0.636,0.5
Jeff Teague,Hawks,2014-2015,REG,73,1.947,2.297,3.828,86.827,63.153,1.81,0.663,0.38,0.67,0.454,0.47,0.434,0.575
Shelvin Mack,Hawks,2014-2015,REG,55,1.101,2.618,4.364,79.59,61.649,1.427,0.519,0.4,0.607,0.385,0.392,0.594,0.563
Quincy Pondexter,"Grizzlies, Pelicans",2014-2015,REG,75,1.469,2.211,3.686,35.99,25.111,0.683,0.241,0.568,0.71,0.456,0.407,0.572,0.526
Hassan Whiteside,"Grizzlies, Heat",2014-2015,REG,47,1.51,2.277,3.795,51.459,33.782,0.193,0.064,0.495,0.727,0.617,0.717,0.14,0.456
Tayshaun Prince,"Grizzlies, Celtics, Pistons",2014-2015,REG,58,1.636,2.445,4.075,55.132,41.755,0.773,0.335,0.584,0.631,0.429,0.453,0.473,0.476
Zach Randolph,Grizzlies,2014-2015,REG,71,2.093,2.322,3.871,60.212,39.412,0.594,0.297,0.48,0.674,0.507,0.444,0.308,0.538
Beno Udrih,Grizzlies,2014-2015,REG,79,1.414,2.69,4.483,88.924,69.824,1.542,0.458,0.513,0.624,0.494,0.481,0.47,0.582
Mike Conley,Grizzlies,2014-2015,REG,70,2.216,2.51,4.183,90.131,68.076,1.845,0.68,0.372,0.636,0.441,0.454,0.476,0.564
Marc Gasol,Grizzlies,2014-2015,REG,81,2.035,2.208,3.68,72.802,50.991,0.871,0.375,0.584,0.653,0.525,0.458,0.464,0.488
Vince Carter,Grizzlies,2014-2015,REG,66,1.095,2.384,3.974,55.753,38.565,0.726,0.099,0.54,0.541,0.315,0.344,0.64,0.494
Nick Calathes,Grizzlies,2014-2015,REG,58,0.969,2.414,4.023,76.044,59.418,1.547,0.473,0.422,0.674,0.431,0.402,0.377,0.488
Tony Allen,Grizzlies,2014-2015,REG,63,1.824,2.511,4.185,40.856,26.786,0.634,0.328,0.39,0.612,0.474,0.548,0.273,0.531
Kosta Koufos,Grizzlies,2014-2015,REG,81,1.151,2.488,4.147,53.294,39.864,0.587,0.214,0.502,0.642,0.505,0.519,0.221,0.47
Courtney Lee,Grizzlies,2014-2015,REG,77,2.138,2.517,4.194,47.536,34.662,0.795,0.306,0.525,0.654,0.416,0.473,0.596,0.602
Jon Leuer,Grizzlies,2014-2015,REG,63,0.955,2.628,4.38,61.778,45.132,0.655,0.175,0.382,0.605,0.5,0.39,0.517,0.552
Jordan Farmar,Clippers,2014-2015,REG,36,1.037,2.54,4.233,77.444,61.126,2.108,0.476,0.615,0.5,0.244,0.446,0.713,0.546
Glen Davis,Clippers,2014-2015,REG,74,0.805,2.371,3.952,48.424,34.486,0.438,0.12,0.381,0.576,0.542,0.303,0.349,0.5
Matt Barnes,Clippers,2014-2015,REG,76,2.162,2.604,4.341,42.83,29.499,0.476,0.206,0.5,0.642,0.525,0.399,0.643,0.572
DeAndre Jordan,Clippers,2014-2015,REG,82,2.194,2.297,3.828,50.835,40.137,0.689,0.051,0.717,0.746,0.674,0.841,0.202,0.49
Spencer Hawes,Clippers,2014-2015,REG,73,1.179,2.432,4.053,65.497,49.504,0.735,0.283,0.435,0.585,0.429,0.371,0.606,0.491
Chris Paul,Clippers,2014-2015,REG,82,2.253,2.328,3.88,96.133,72.018,2.847,0.97,0.51,0.656,0.439,0.52,0.568,0.549
Jamal Crawford,Clippers,2014-2015,REG,64,1.704,2.305,3.842,55.462,31.62,0.698,0.338,0.643,0.667,0.387,0.409,0.405,0.689
JJ Redick,Clippers,2014-2015,REG,78,2.31,2.692,4.487,45.129,27.227,0.897,0.224,0.55,0.556,0.438,0.501,0.611,0.522
Blake Griffin,Clippers,2014-2015,REG,67,2.195,2.248,3.746,84.307,58.054,0.917,0.458,0.575,0.641,0.539,0.465,0.5,0.495
Marcus Thornton,"Celtics, Suns",2014-2015,REG,48,0.981,2.354,3.923,47.972,27.334,0.55,0.2,0.561,0.636,0.393,0.421,0.404,0.423
Rajon Rondo,"Celtics, Mavericks",2014-2015,REG,68,2.01,2.437,4.062,93.885,74.448,1.248,0.927,0.477,0.671,0.437,0.419,0.506,0.552
Jeff Green,"Celtics, Grizzlies",2014-2015,REG,78,2.034,2.327,3.878,53.145,34.609,0.645,0.191,0.649,0.645,0.459,0.39,0.417,0.5
Marcus Smart,Celtics,2014-2015,REG,67,1.859,2.479,4.132,61.697,47.163,1.195,0.358,0.526,0.61,0.393,0.343,0.508,0.472
Avery Bradley,Celtics,2014-2015,REG,77,2.174,2.482,4.137,44.132,25.877,0.623,0.134,0.529,0.654,0.439,0.42,0.531,0.494
Evan Turner,Celtics,2014-2015,REG,82,1.847,2.413,4.022,81.036,61.936,1.354,0.781,0.506,0.688,0.432,0.422,0.43,0.564
Kelly Olynyk,Celtics,2014-2015,REG,64,1.483,2.399,3.999,69.493,51.715,0.809,0.126,0.458,0.603,0.538,0.419,0.554,0.533
Jared Sullinger,Celtics,2014-2015,REG,58,1.687,2.248,3.747,70.005,49.689,0.713,0.276,0.593,0.643,0.461,0.41,0.477,0.533
Brandon Bass,Celtics,2014-2015,REG,82,1.559,2.387,3.978,54.37,37.367,0.56,0.112,0.626,0.632,0.505,0.497,0.42,0.533
Tyler Zeller,Celtics,2014-2015,REG,82,1.437,2.45,4.084,56.22,38.583,0.582,0.208,0.485,0.597,0.53,0.602,0.272,0.513
Dion Waiters,"Cavaliers, Thunder",2014-2015,REG,80,1.777,2.317,3.862,45.473,25.63,0.554,0.342,0.58,0.674,0.393,0.399,0.477,0.58
Lou Amundson,"Cavaliers, Knicks",2014-2015,REG,52,1.239,2.504,4.173,65.648,50.373,0.972,0.117,0.544,0.592,0.437,0.346,0.225,0.514
Kevin Love,Cavaliers,2014-2015,REG,75,2.131,2.272,3.787,67.254,48.073,0.711,0.341,0.615,0.659,0.456,0.417,0.515,0.514
LeBron James,Cavaliers,2014-2015,REG,69,2.213,2.204,3.674,78.643,50.446,1.141,0.664,0.591,0.779,0.499,0.466,0.454,0.504
Tristan Thompson,Cavaliers,2014-2015,REG,82,1.83,2.462,4.103,43.433,31.586,0.558,0.016,0.537,0.601,0.538,0.614,0.183,0.525
Kyrie Irving,Cavaliers,2014-2015,REG,75,2.337,2.312,3.853,77.489,53.738,1.477,0.541,0.43,0.609,0.468,0.465,0.345,0.57
Mike Miller,Cavaliers,2014-2015,REG,52,0.834,2.227,3.712,45.951,37.942,0.411,0.359,0.667,0.69,0.407,0.294,0.759,0.447
Shawn Marion,Cavaliers,2014-2015,REG,57,1.23,2.292,3.82,46.857,35.445,0.621,0.196,0.587,0.683,0.424,0.483,0.336,0.481
Anderson Varejao,Cavaliers,2014-2015,REG,26,1.698,2.501,4.168,57.494,41.803,0.51,0.057,0.5,0.579,0.487,0.639,0.377,0.558
Matthew Dellavedova,Cavaliers,2014-2015,REG,67,1.416,2.475,4.124,72.981,59.391,1.2,0.365,0.617,0.464,0.292,0.402,0.632,0.575
Taj Gibson,Bulls,2014-2015,REG,62,1.78,2.347,3.912,48.618,33.256,0.426,0.192,0.529,0.561,0.505,0.496,0.243,0.443
Pau Gasol,Bulls,2014-2015,REG,78,2.169,2.272,3.786,72.261,50.372,0.604,0.403,0.63,0.675,0.483,0.514,0.38,0.471
Nikola Mirotic,Bulls,2014-2015,REG,82,1.369,2.443,4.072,61.722,42.2,0.501,0.283,0.457,0.688,0.446,0.379,0.566,0.531
Derrick Rose,Bulls,2014-2015,REG,51,2.105,2.527,4.211,92.5,63.981,1.788,0.565,0.486,0.606,0.429,0.373,0.428,0.5
Mike Dunleavy,Bulls,2014-2015,REG,63,2.17,2.678,4.463,44.818,32.458,0.666,0.255,0.459,0.609,0.432,0.434,0.586,0.514
Joakim Noah,Bulls,2014-2015,REG,67,2.043,2.405,4.008,79.919,66.002,0.826,0.475,0.579,0.665,0.438,0.446,0.268,0.527
Kirk Hinrich,Bulls,2014-2015,REG,66,1.811,2.672,4.453,58.271,45.548,1.185,0.291,0.556,0.608,0.346,0.389,0.596,0.459
Jimmy Butler,Bulls,2014-2015,REG,65,2.733,2.545,4.241,52.379,33.344,0.874,0.229,0.591,0.637,0.449,0.482,0.423,0.566
Tony Snell,Bulls,2014-2015,REG,72,1.371,2.516,4.194,40.329,27.914,0.943,0.128,0.62,0.617,0.455,0.408,0.555,0.494
Aaron Brooks,Bulls,2014-2015,REG,82,1.564,2.449,4.082,82.615,59.636,1.605,0.669,0.33,0.68,0.404,0.447,0.394,0.576
Brandon Knight,"Bucks, Suns",2014-2015,REG,63,2.226,2.48,4.134,79.316,55.613,1.327,0.372,0.424,0.704,0.413,0.425,0.505,0.595
Jared Dudley,Bucks,2014-2015,REG,72,1.566,2.364,3.939,58.61,46.531,1.028,0.231,0.542,0.509,0.5,0.463,0.725,0.506
Ersan Ilyasova,Bucks,2014-2015,REG,58,1.479,2.342,3.903,56.17,37.447,0.437,0.109,0.53,0.585,0.483,0.477,0.567,0.538
Kendall Marshall,Bucks,2014-2015,REG,28,1.021,2.466,4.111,74.075,59.243,1.983,1.207,0.25,0.839,0.524,0.407,0.584,0.8
John Henson,Bucks,2014-2015,REG,67,1.208,2.372,3.954,46.037,30.301,0.41,0.088,0.596,0.566,0.551,0.659,0.13,0.457
Zaza Pachulia,Bucks,2014-2015,REG,73,1.508,2.291,3.818,56.214,39.336,1.061,0.354,0.566,0.599,0.463,0.454,0.482,0.527
Chris Johnson,Bucks,2014-2015,REG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Parker,Bucks,2014-2015,REG,25,2.032,2.477,4.128,50.799,32.079,0.829,0.341,0.725,0.611,0.419,0.537,0.293,0.586
O.J. Mayo,Bucks,2014-2015,REG,71,1.58,2.379,3.964,50.138,30.181,0.954,0.679,0.566,0.654,0.401,0.445,0.458,0.518
Jerryd Bayless,Bucks,2014-2015,REG,77,1.506,2.43,4.05,72.507,54.753,2.012,0.335,0.537,0.668,0.425,0.432,0.58,0.556
Giannis Antetokounmpo,Bucks,2014-2015,REG,81,2.109,2.42,4.034,57.09,39.944,0.779,0.184,0.498,0.694,0.486,0.491,0.348,0.548
Larry Sanders,Bucks,2014-2015,REG,27,1.407,2.336,3.894,49,33.507,0.184,0,0.558,0.604,0.42,0.533,0.156,0.456
Khris Middleton,Bucks,2014-2015,REG,79,2.076,2.483,4.138,51.453,34.227,0.878,0.348,0.558,0.673,0.473,0.462,0.504,0.553
Tim Frazier,"76ers, Trail Blazers",2014-2015,REG,11,1.64,2.712,4.519,91.39,72.15,0.902,0.601,0.333,0.489,0.357,0.333,0.541,0.75
Alexey Shved,"76ers, Rockets, Knicks",2014-2015,REG,42,1.277,2.516,4.194,79.765,55.836,0.516,0.704,0.657,0.667,0.372,0.431,0.43,0.617
KJ McDaniels,"76ers, Rockets",2014-2015,REG,62,1.509,2.506,4.176,44.366,26.684,0.589,0.295,0.542,0.508,0.398,0.393,0.403,0.451
Brandon Davies,"76ers, Nets",2014-2015,REG,27,1.095,2.516,4.194,66.316,50.227,0.596,0.255,0.603,0.459,0.42,0.421,0.452,0.514
Chris Johnson,"76ers, Jazz, Bucks",2014-2015,REG,28,1.344,2.678,4.464,41.14,28.115,0.569,0.214,0.471,0.627,0.477,0.338,0.552,0.421
Michael Carter-Williams,"76ers, Bucks",2014-2015,REG,66,2.335,2.59,4.317,95.861,69.207,1.277,0.672,0.5,0.639,0.42,0.353,0.34,0.5
Jason Richardson,76ers,2014-2015,REG,19,1.525,2.505,4.175,53.421,33.539,0.605,0.519,0.619,0.576,0.361,0.337,0.534,0.6
Henry Sims,76ers,2014-2015,REG,73,1.315,2.488,4.147,73.863,55.494,0.622,0.311,0.488,0.596,0.512,0.425,0.484,0.498
JaKarr Sampson,76ers,2014-2015,REG,74,1.15,2.712,4.52,54.794,38.187,0.606,0.064,0.547,0.577,0.476,0.357,0.454,0.445
Robert Covington,76ers,2014-2015,REG,70,1.937,2.511,4.186,58.667,38.5,0.556,0.185,0.439,0.498,0.376,0.416,0.487,0.498
Tony Wroten,76ers,2014-2015,REG,30,2.02,2.464,4.107,89.473,62.062,0.895,0.488,0.5,0.624,0.427,0.356,0.349,0.615
Luc Mbah a Moute,76ers,2014-2015,REG,67,1.921,2.418,4.031,67.079,50.643,0.451,0.282,0.463,0.59,0.415,0.383,0.598,0.51
Jerami Grant,76ers,2014-2015,REG,65,1.549,2.644,4.406,60.587,44.942,0.814,0.184,0.605,0.525,0.372,0.331,0.489,0.436
Furkan Aldemir,76ers,2014-2015,REG,41,0.94,2.566,4.277,58.944,50.085,0.533,0,0.456,0.563,0.529,0.482,0.346,0.443
Nerlens Noel,76ers,2014-2015,REG,75,2.09,2.449,4.081,56.009,40.297,0.547,0.312,0.481,0.584,0.463,0.464,0.277,0.446
Larry Drew,76ers,2014-2015,REG,12,1.343,2.649,4.414,102.857,84.619,0.822,0.822,0.5,0.56,0.391,0.314,0.603,0.563
Hollis Thompson,76ers,2014-2015,REG,71,1.797,2.587,4.312,45.312,31.404,0.629,0.183,0.57,0.622,0.412,0.406,0.565,0.584
Jan Vesely,"Wizards, Nuggets",2013-2014,REG,54,1.068,2.675,4.458,53.972,42.473,0.278,0.093,0.54,0.64,0.476,0.612,0.283,0.556
Nene,Wizards,2013-2014,REG,53,1.916,2.343,3.905,60.381,40.192,0.785,0.415,0.464,0.629,0.536,0.468,0.478,0.559
Trevor Ariza,Wizards,2013-2014,REG,77,2.363,2.406,4.009,52.032,36.892,0.767,0.331,0.572,0.67,0.438,0.469,0.601,0.618
John Wall,Wizards,2013-2014,REG,82,2.435,2.412,4.02,93.626,68.994,1.703,0.967,0.481,0.664,0.457,0.412,0.515,0.579
Martell Webster,Wizards,2013-2014,REG,78,1.868,2.432,4.053,45.076,32.66,0.517,0.217,0.667,0.65,0.44,0.428,0.673,0.496
Drew Gooden,Wizards,2013-2014,REG,22,1.185,2.374,3.957,63.776,47.194,0.82,0.182,0.698,0.7,0.532,0.533,0.554,0.526
Al Harrington,Wizards,2013-2014,REG,34,0.976,2.337,3.894,58.715,39.496,0.774,0,0.441,0.586,0.459,0.348,0.581,0.559
Trevor Booker,Wizards,2013-2014,REG,72,1.539,2.568,4.28,59.209,47.043,0.649,0.185,0.527,0.602,0.569,0.521,0.353,0.555
Bradley Beal,Wizards,2013-2014,REG,73,2.458,2.553,4.255,59.448,38.887,0.697,0.242,0.535,0.646,0.402,0.433,0.536,0.565
Marcin Gortat,Wizards,2013-2014,REG,81,2.244,2.465,4.108,63.17,48.134,0.583,0.163,0.539,0.622,0.556,0.513,0.327,0.501
Kent Bazemore,"Warriors, Lakers",2013-2014,REG,67,0.986,2.61,4.349,59.342,39.034,1.264,0.553,0.385,0.582,0.441,0.417,0.51,0.54
Toney Douglas,"Warriors, Heat",2013-2014,REG,51,1.025,2.79,4.65,65.946,51.22,1.281,0.107,0.429,0.622,0.4,0.374,0.605,0.656
Dewayne Dedmon,"Warriors, 76ers, Magic",2013-2014,REG,31,0.899,2.571,4.284,51.448,40.661,0.369,0.277,0.521,0.754,0.415,0.533,0.361,0.607
Stephen Curry,Warriors,2013-2014,REG,78,2.529,2.495,4.159,76.765,51.657,1.695,0.519,0.511,0.629,0.437,0.495,0.559,0.541
Harrison Barnes,Warriors,2013-2014,REG,78,2.021,2.575,4.292,38.683,24.454,0.604,0.114,0.55,0.529,0.373,0.428,0.477,0.492
Andrew Bogut,Warriors,2013-2014,REG,67,1.684,2.295,3.824,53.97,43.229,0.793,0.203,0.639,0.716,0.583,0.765,0.218,0.45
Klay Thompson,Warriors,2013-2014,REG,81,2.465,2.507,4.178,37.86,18.704,0.427,0.301,0.5,0.58,0.433,0.453,0.486,0.503
Marreese Speights,Warriors,2013-2014,REG,79,0.817,2.364,3.94,50.025,28.512,0.403,0.11,0.577,0.61,0.512,0.354,0.438,0.509
Draymond Green,Warriors,2013-2014,REG,82,1.474,2.422,4.037,58.893,45.808,0.641,0.321,0.551,0.646,0.412,0.398,0.539,0.503
Jermaine O'Neal,Warriors,2013-2014,REG,44,1.26,2.26,3.767,41.978,27.062,0.285,0.122,0.578,0.543,0.51,0.455,0.18,0.479
David Lee,Warriors,2013-2014,REG,69,2.222,2.412,4.02,56.856,36.027,0.708,0.173,0.514,0.597,0.538,0.477,0.205,0.493
Andre Iguodala,Warriors,2013-2014,REG,63,2.233,2.483,4.139,46.824,35.017,1.253,0.459,0.716,0.694,0.5,0.464,0.544,0.511
Robin Lopez,Trail Blazers,2013-2014,REG,82,2.181,2.473,4.121,39.96,27.571,0.36,0.028,0.542,0.545,0.545,0.569,0.238,0.425
Nicolas Batum,Trail Blazers,2013-2014,REG,82,2.635,2.631,4.385,68.541,53.683,0.913,0.658,0.55,0.682,0.503,0.443,0.636,0.488
Damian Lillard,Trail Blazers,2013-2014,REG,82,2.53,2.543,4.239,84.429,61.149,1.214,0.613,0.385,0.55,0.42,0.429,0.48,0.52
Dorell Wright,Trail Blazers,2013-2014,REG,68,1.016,2.527,4.211,51.265,37.151,0.366,0.146,0.58,0.604,0.365,0.379,0.64,0.492
Thomas Robinson,Trail Blazers,2013-2014,REG,70,0.893,2.577,4.296,56.785,38.722,0.577,0.247,0.505,0.623,0.482,0.48,0.348,0.562
Joel Freeland,Trail Blazers,2013-2014,REG,52,0.981,2.526,4.21,43.955,32.67,0.792,0.198,0.534,0.533,0.446,0.522,0.429,0.536
Wesley Matthews,Trail Blazers,2013-2014,REG,82,2.429,2.579,4.298,48.569,31.607,0.725,0.168,0.505,0.604,0.438,0.441,0.584,0.514
Mo Williams,Trail Blazers,2013-2014,REG,74,1.752,2.545,4.242,78.878,59.615,1.1,0.707,0.6,0.529,0.389,0.443,0.505,0.615
CJ McCollum,Trail Blazers,2013-2014,REG,38,0.931,2.678,4.463,51.153,32.235,0.757,0.151,0.438,0.631,0.426,0.405,0.472,0.5
LaMarcus Aldridge,Trail Blazers,2013-2014,REG,69,2.392,2.377,3.962,67.234,41.217,0.778,0.202,0.601,0.683,0.452,0.465,0.459,0.5
Luc Mbah a Moute,"Timberwolves, Kings",2013-2014,REG,64,1.059,2.432,4.053,38.189,28.426,0.287,0.18,0.528,0.566,0.513,0.351,0.387,0.476
Nikola Pekovic,Timberwolves,2013-2014,REG,54,2.019,2.36,3.933,46.53,26.598,0.606,0.152,0.546,0.584,0.521,0.721,0.097,0.555
Dante Cunningham,Timberwolves,2013-2014,REG,81,1.477,2.634,4.391,62.623,49.037,0.529,0.044,0.471,0.507,0.486,0.453,0.649,0.546
Kevin Love,Timberwolves,2013-2014,REG,77,2.326,2.306,3.843,85.504,59.783,0.644,0.811,0.589,0.689,0.471,0.445,0.482,0.575
Corey Brewer,Timberwolves,2013-2014,REG,81,2.208,2.468,4.113,42.865,28.337,0.69,0.359,0.45,0.535,0.514,0.44,0.472,0.644
Ricky Rubio,Timberwolves,2013-2014,REG,82,2.359,2.64,4.4,95.24,77.636,2.279,1.419,0.442,0.599,0.363,0.402,0.457,0.562
Gorgui Dieng,Timberwolves,2013-2014,REG,60,0.911,2.406,4.009,51.767,36.756,0.748,0.22,0.523,0.633,0.459,0.586,0.308,0.515
Kevin Martin,Timberwolves,2013-2014,REG,68,2.125,2.39,3.983,51.479,30.163,0.728,0.165,0.54,0.658,0.401,0.474,0.408,0.591
Jose Juan Barea,Timberwolves,2013-2014,REG,79,1.328,2.567,4.279,91.073,67.265,0.979,0.881,0.444,0.627,0.371,0.405,0.484,0.617
Robbie Hummel,Timberwolves,2013-2014,REG,53,0.923,2.689,4.482,51.655,40.115,0.605,0.165,0.625,0.606,0.429,0.366,0.802,0.667
Ronny Turiaf,Timberwolves,2013-2014,REG,31,1.214,2.236,3.727,44.461,34.297,0.535,0.178,0.585,0.61,0.571,0.889,0.084,0.465
Chase Budinger,Timberwolves,2013-2014,REG,41,1.252,2.462,4.103,40.33,25.416,0.671,0.24,0.559,0.661,0.421,0.37,0.577,0.629
Steven Adams,Thunder,2013-2014,REG,81,1.063,2.589,4.314,48.289,37.705,0.541,0.09,0.536,0.554,0.509,0.455,0.119,0.484
Nick Collison,Thunder,2013-2014,REG,81,1.229,2.648,4.413,67.15,56.349,0.825,0.426,0.589,0.499,0.6,0.484,0.378,0.474
Kevin Durant,Thunder,2013-2014,REG,81,2.5,2.336,3.893,64.396,36.28,0.68,0.507,0.659,0.771,0.495,0.517,0.343,0.478
Jeremy Lamb,Thunder,2013-2014,REG,78,1.38,2.52,4.2,46.187,29.028,0.538,0.351,0.415,0.609,0.415,0.448,0.507,0.577
Russell Westbrook,Thunder,2013-2014,REG,46,2.142,2.513,4.189,87.699,56.587,1.964,1.148,0.529,0.794,0.449,0.424,0.434,0.54
Kendrick Perkins,Thunder,2013-2014,REG,62,1.277,2.362,3.936,54.511,44.158,0.358,0.179,0.532,0.637,0.416,0.536,0.29,0.414
Reggie Jackson,Thunder,2013-2014,REG,80,1.934,2.446,4.077,74.894,53.317,1.359,0.553,0.467,0.596,0.448,0.428,0.44,0.55
Perry Jones,Thunder,2013-2014,REG,62,0.858,2.506,4.176,39.083,28.064,0.377,0.094,0.622,0.606,0.511,0.413,0.511,0.439
Derek Fisher,Thunder,2013-2014,REG,81,1.167,2.383,3.971,53.493,40.738,1.235,0.454,0.6,0.663,0.335,0.443,0.513,0.587
Thabo Sefolosha,Thunder,2013-2014,REG,61,1.821,2.524,4.207,37.384,27.044,0.818,0.159,0.532,0.685,0.473,0.371,0.571,0.464
Serge Ibaka,Thunder,2013-2014,REG,81,2.225,2.434,4.057,54.431,37.539,0.419,0.081,0.663,0.613,0.557,0.519,0.545,0.439
Eric Bledsoe,Suns,2013-2014,REG,43,2.223,2.429,4.049,77.822,54.262,0.788,0.559,0.391,0.678,0.481,0.473,0.538,0.415
Marcus Morris,Suns,2013-2014,REG,82,1.501,2.462,4.103,52.442,35.321,0.44,0.24,0.596,0.601,0.457,0.431,0.522,0.564
Markieff Morris,Suns,2013-2014,REG,81,1.657,2.244,3.74,54.673,34.576,0.502,0.385,0.513,0.643,0.484,0.487,0.412,0.561
Ish Smith,Suns,2013-2014,REG,70,1.095,2.741,4.569,80.833,65.418,1.109,0.858,0.463,0.57,0.402,0.467,0.327,0.593
Channing Frye,Suns,2013-2014,REG,82,1.818,2.321,3.868,60.78,45.943,0.778,0.093,0.529,0.586,0.455,0.421,0.672,0.522
Leandro Barbosa,Suns,2013-2014,REG,20,1.277,2.502,4.17,50.923,32.12,0.294,0.49,0.357,0.8,0.481,0.352,0.412,0.231
Goran Dragic,Suns,2013-2014,REG,76,2.537,2.602,4.337,79.408,55.484,1.174,0.675,0.479,0.559,0.482,0.537,0.419,0.533
PJ Tucker,Suns,2013-2014,REG,81,2.08,2.436,4.059,44.483,32.21,0.477,0.304,0.561,0.719,0.434,0.426,0.431,0.508
Miles Plumlee,Suns,2013-2014,REG,80,1.747,2.562,4.269,56.464,42.458,0.458,0.183,0.516,0.604,0.494,0.613,0.192,0.503
Gerald Green,Suns,2013-2014,REG,82,1.975,2.502,4.17,47.807,27.736,0.433,0.201,0.649,0.645,0.442,0.45,0.564,0.503
Boris Diaw,Spurs,2013-2014,REG,79,1.776,2.558,4.263,70.882,56.075,0.693,0.529,0.507,0.569,0.559,0.483,0.507,0.573
Cory Joseph,Spurs,2013-2014,REG,68,1.069,2.796,4.66,74.184,58.571,1.115,0.346,0.516,0.514,0.48,0.469,0.43,0.562
Tony Parker,Spurs,2013-2014,REG,68,2.225,2.728,4.546,92.495,67.835,2.127,0.721,0.378,0.723,0.487,0.516,0.403,0.534
Jeff Ayres,Spurs,2013-2014,REG,73,0.928,2.562,4.27,59.054,48.014,0.907,0.151,0.574,0.571,0.588,0.567,0.345,0.531
Manu Ginobili,Spurs,2013-2014,REG,68,1.586,2.503,4.172,67.356,45.647,1.672,1.068,0.429,0.667,0.518,0.423,0.517,0.585
Danny Green,Spurs,2013-2014,REG,68,1.856,2.753,4.588,55.447,41.188,0.85,0.174,0.397,0.576,0.472,0.407,0.618,0.545
Tiago Splitter,Spurs,2013-2014,REG,59,1.554,2.597,4.328,60.135,44.811,0.482,0.34,0.477,0.593,0.495,0.667,0.165,0.44
Kawhi Leonard,Spurs,2013-2014,REG,66,2.17,2.682,4.469,50.297,34.455,0.787,0.131,0.567,0.66,0.571,0.48,0.533,0.538
