PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Kyle Singler,OKC,68,43,25,14.4,3.4,13.4,10.1,0.4,1.61,0.75,0.253,0.6,0.1,1.2,0.333,0.333,0.561,16
Mario Hezonja,ORL,78,33,45,17.9,6.1,24.3,16.5,1,2.58,1.7,0.252,0.4,0.1,0.8,0.909,0.364,0.656,16
Omri Casspi,SAC,69,27,42,27.3,11.8,46.8,23.9,1.2,1.56,0.73,0.252,0.9,0.2,2.2,0.871,0.733,0.903,16
Markel Brown,BKN,62,12,50,15.8,5.9,23.2,16.9,1.1,2.72,2.16,0.252,0.7,0,0.9,0.634,1,0.825,16
Jason Smith,ORL,75,33,42,15.3,7.1,28,16.4,0.7,1.48,0.38,0.252,1.4,0.4,1.4,0.457,0.31,0.683,16
Lucas Nogueira,TOR,29,17,12,7.7,2.2,8.9,5.1,0.2,1.27,0.26,0.252,0.8,0.2,2.3,0.435,0,0.773,16
Robert Covington,PHI,67,10,57,28.4,12.8,50.8,30.1,1.5,1.74,0.72,0.252,0.7,0.1,1.5,0.409,0,0.786,16
Jeremy Lin,CHA,78,47,31,26.3,11.7,46.7,26.2,3.4,4.37,4.17,0.251,0.7,0.1,0.9,0.579,0.667,0.667,16
Rodney Stuckey,IND,58,33,25,22,8.9,35.6,23.1,2.1,3.51,2.66,0.25,0.4,0.2,0.7,0.64,0.143,0.692,16
Clint Capela,HOU,77,39,38,19.1,7,28.2,13.3,0.7,1.43,0.34,0.25,2.5,0.5,6.7,0.487,0.351,0.768,16
Vince Carter,MEM,60,33,27,16.8,6.6,26.4,17.8,0.9,2.11,1.08,0.25,0.6,0.9,1,0.447,0.529,0.717,16
Christian Wood,PHI,17,0,17,8.5,3.6,14.4,7.7,0.4,1.58,0.51,0.25,1.5,1.1,2.2,0.423,0.444,0.658,16
Ryan Hollins,MEM,37,18,19,12.4,3.4,13.4,8.3,0.3,1.55,0.36,0.25,2,0.7,3.5,0.284,0.231,0.822,16
Jrue Holiday,NOP,65,27,38,28.2,16.8,67.2,31.6,4.9,4.4,4.21,0.249,1.1,0.5,0.9,0.608,0.419,0.583,16
Kristaps Porzingis,NYK,72,28,44,28.4,14.3,57.3,37.7,1.5,1.59,0.41,0.249,4.1,4.1,4.8,0.4,0.497,0.751,16
Trevor Ariza,HOU,81,40,41,35.3,12.7,51.1,36.7,1.7,1.97,0.98,0.248,0.7,0.2,1.2,0.627,0.733,0.683,16
Jordan McRae,CLE,22,10,12,8.9,4.5,18.1,8.5,1.5,4.92,4.49,0.248,0.2,0,0.3,0.5,0,1.167,16
Edy Tavares,ATL,11,7,4,6.6,2.3,9.2,5.6,0.2,1.25,0.19,0.248,1,0.4,2.6,0.273,0,0.724,16
Metta World Peace,LAL,35,6,29,16.9,5,20.3,15.6,0.8,2.28,1.09,0.248,0.3,1.5,0.9,0.167,0.353,0.355,16
Tiago Splitter,ATL,36,21,15,16.1,5.6,22.5,14.6,0.6,1.55,0.49,0.248,2.1,1.6,5.3,0.16,0.421,0.76,16
DeMarre Carroll,TOR,26,16,10,30.2,11,44.6,30.3,1.6,2.15,1.2,0.247,0.8,0.1,2.6,0.81,0,0.701,16
Stanley Johnson,DET,73,37,36,23.1,8.1,33.1,20.8,1.4,2.52,1.7,0.246,0.3,0.7,1.2,0.48,0.388,0.663,16
Caron Butler,SAC,16,2,14,10.5,3.9,16,10.3,0.5,1.71,0.64,0.246,0.1,1,0.2,0,0.688,1.333,16
James Jones,CLE,48,33,15,9.7,3.7,15.2,9.3,0.3,1.37,0.34,0.245,0.2,0,0.1,0.6,1,1,16
Giannis Antetokounmpo,MIL,80,32,48,35.3,16.9,68.8,36.2,3.9,3.4,2.35,0.245,2.5,2.3,4,0.525,0.328,0.896,16
Derrick Favors,UTA,62,30,32,32,16.4,67,46.3,1.9,1.66,0.44,0.245,7.4,5.8,7,0.51,0.538,0.91,16
Kent Bazemore,ATL,75,44,31,27.8,11.6,47.7,30.6,1.8,2.26,1.47,0.244,0.7,0,1.9,0.82,0,0.823,16
Rashad Vaughn,MIL,70,30,40,14.3,3.1,12.7,9.3,0.4,1.76,1.08,0.244,0.1,0,0.2,0.625,2,0.294,16
Manu Ginobili,SAS,58,47,11,19.6,9.6,39.3,28.4,2,2.98,2.15,0.244,0.7,0.1,1,0.553,1.167,0.517,16
Ersan Ilyasova,ORL,74,35,39,25.4,10.4,42.5,22.5,1,1.44,0.51,0.244,1.1,0.7,3.7,0.468,0.462,0.901,16
Aaron Gordon,ORL,77,32,45,24.1,9.3,38.5,19.3,1.2,1.92,1.08,0.243,1.1,0.6,3.9,0.61,0.457,0.926,16
Arron Afflalo,NYK,71,27,44,33.4,12.8,52.7,38.7,2.2,2.52,1.57,0.243,2,3.3,1.3,0.497,0.679,0.726,16
Marc Gasol,MEM,52,30,22,34.4,16.6,68.2,50.5,2.3,1.99,0.61,0.243,11.6,13.7,6.6,0.278,0.482,0.584,16
Chris Kaman,POR,16,11,5,7,2.8,11.4,7.3,0.3,1.75,0.49,0.242,1.3,0.9,0.9,0.4,0.5,0.714,16
Joe Johnson,MIA,81,31,50,33.4,12.2,50.6,38.6,2.6,3.13,2.46,0.242,1.8,3.1,1,0.285,0.402,0.585,16
Al Horford,ATL,82,48,34,32.1,15.2,63.5,42.1,1.7,1.6,0.57,0.24,4.7,3.8,6.4,0.322,0.484,0.779,16
DeAndre Jordan,LAC,77,51,26,33.7,12.7,53.2,23.8,1.2,1.32,0.19,0.239,2.4,1.6,9.6,0.449,0.322,0.974,16
Taj Gibson,CHI,73,37,36,26.5,8.6,36,23,1,1.65,0.68,0.239,3.4,3.9,6.9,0.363,0.424,0.751,16
David West,SAS,78,63,15,18,7.1,29.7,19.6,0.8,1.59,0.46,0.239,3.2,2.6,2.9,0.339,0.568,0.853,16
Kelly Olynyk,BOS,68,39,29,20.2,9.8,41.1,24.8,1.1,1.65,0.62,0.238,1.5,0.9,2.9,0.374,0.55,0.809,16
JaMychal Green,MEM,78,39,39,18.5,7.4,31.1,18.3,0.8,1.53,0.47,0.238,2.5,1.9,4.1,0.279,0.534,0.854,16
Jusuf Nurkic,DEN,32,14,18,17.1,8.2,34.7,19.6,0.9,1.55,0.44,0.237,2.9,4.5,6.4,0.538,0.414,0.699,16
David Lee,DAL,54,26,28,16.5,7.9,33.1,20.9,0.9,1.65,0.67,0.237,2.7,2.3,4.6,0.483,0.512,0.907,16
Alexis Ajinca,NOP,59,20,39,14.6,6,25.2,13.1,0.6,1.4,0.25,0.237,2.5,0.9,3.2,0.405,0.509,0.855,16
Mike Dunleavy,CHI,31,13,18,22.7,7.2,30.2,23.3,0.9,1.82,0.76,0.237,0.6,0.5,1.4,0.263,0.143,0.881,16
Kemba Walker,CHA,81,47,34,35.6,20.9,88.5,30.2,8.1,5.49,5.51,0.236,0.5,0,0.8,0.595,0.667,0.864,16
Jon Leuer,PHX,67,22,45,18.7,8.5,35.8,19.2,1,1.67,0.54,0.236,1.6,1.2,2.7,0.57,0.554,0.901,16
Salah Mejri,DAL,34,16,18,11.7,3.7,15.6,7.8,0.4,1.53,0.37,0.236,1.6,0.3,3.4,0.527,0.182,0.735,16
Brandon Knight,PHX,52,16,36,36,19.6,82.9,35.8,6,4.37,4.45,0.236,0.9,0.3,0.9,0.457,0,0.761,16
Garrett Temple,WAS,80,40,40,24.4,7.3,30.8,20,1.2,2.37,1.85,0.236,0.4,0.1,0.8,0.433,0,0.523,16
Alex Len,PHX,78,23,55,23.3,9,38.2,21.4,1,1.58,0.38,0.236,4.1,5,6.8,0.377,0.414,0.728,16
Ramon Sessions,WAS,82,41,41,20.3,9.9,42.1,17.3,3.1,4.43,3.83,0.235,0.3,0,0.6,0.571,0,0.755,16
Devin Harris,DAL,64,35,29,20,7.6,32.4,20.6,1.4,2.53,2.07,0.235,0.9,0,0.7,0.39,0.667,0.809,16
Eric Bledsoe,PHX,31,12,19,34.2,20.4,86.9,34,6.5,4.49,4.04,0.235,1,0.3,1.5,0.387,0,0.63,16
Chase Budinger,PHX,66,29,37,14.1,4.1,17.5,13.2,0.6,1.98,0.92,0.235,0.5,0.1,1.2,0.294,0.4,1.064,16
Thaddeus Young,BKN,73,21,52,33,15.1,64.5,32.3,2.1,1.94,0.89,0.234,3.8,4,5.9,0.486,0.645,0.822,16
Isaiah Canaan,PHI,77,10,67,25.5,11,46.9,30.3,2.5,3.15,2.87,0.234,0.2,0.1,0.3,0.353,0.8,0.609,16
Austin Rivers,LAC,67,42,25,21.8,8.9,37.9,17,2.7,4.29,3.95,0.233,0.4,0.1,0.8,0.679,0.5,0.804,16
Paul Pierce,LAC,68,44,24,18.1,6.1,26.3,16.7,0.9,1.95,0.78,0.233,0.5,0.5,0.2,0.278,0.286,0.375,16
Darren Collison,SAC,73,29,44,30,14,60.3,26.8,4.5,4.48,4.15,0.232,0.8,0.1,1.1,0.806,0,0.634,16
Kyle Lowry,TOR,76,53,23,36.9,21.2,91.4,43.5,6.8,4.49,4.08,0.232,0.6,0.3,1.2,0.476,0.316,0.429,16
Nikola Jokic,DEN,80,31,49,21.7,10,43.1,24.2,1.4,1.9,0.6,0.231,4,3.3,6.1,0.438,0.563,0.805,16
Luol Deng,MIA,74,45,29,32.4,12.3,53.8,29.9,1.6,1.77,0.77,0.229,1.3,1.6,3.5,0.495,0.403,0.829,16
Brandon Rush,GSW,72,63,9,14.6,4.2,18.5,12.9,0.6,1.83,1.09,0.228,0.2,0.1,0.5,0.563,0.5,0.629,16
Robin Lopez,NYK,82,32,50,27.1,10.3,44.9,26.2,1.3,1.77,0.35,0.228,5.1,7.5,8.5,0.219,0.337,0.823,16
Nicolas Batum,CHA,70,41,29,35,14.9,65.8,48.2,3,2.74,1.94,0.227,1.3,1.8,1.3,0.634,0.318,0.787,16
Nik Stauskas,PHI,73,8,65,24.8,8.5,37.2,29.2,1.4,2.21,1.7,0.227,0.3,0,0.6,0.55,0,0.659,16
Jared Sullinger,BOS,80,46,34,23.8,10.4,45.6,29.9,1.3,1.75,0.61,0.227,2.6,3,4.7,0.428,0.461,0.743,16
Devyn Marble,ORL,28,12,16,8.9,2.1,9.5,6.6,0.3,2.08,1.29,0.226,0.3,0,0.3,0.875,0,0.556,16
Ian Mahinmi,IND,71,41,30,25.6,9.3,41.2,25.4,1,1.46,0.39,0.226,4.8,1.6,6.5,0.488,0.509,0.797,16
Chris Paul,LAC,74,50,24,32.7,19.5,86.5,29.5,8.5,5.91,5.49,0.226,1.1,1.4,0.8,0.469,0.413,0.544,16
Jordan Hill,IND,73,40,33,20.7,8.8,39,23.9,1.3,1.99,0.4,0.226,4,3.8,5.1,0.374,0.491,0.719,16
Spencer Hawes,CHA,57,30,27,18.2,6,26.4,19.5,0.7,1.67,0.62,0.226,1.7,1.6,3,0.227,0.383,0.696,16
James Anderson,SAC,50,19,31,14.3,3.5,15.5,10.9,0.7,2.66,2.13,0.225,0.2,0.1,0.5,0.833,0.667,0.962,16
Darrell Arthur,DEN,70,26,44,21.7,7.5,33.4,20.7,0.8,1.43,0.38,0.225,1.7,1.1,2.7,0.412,0.526,0.698,16
E'Twaun Moore,CHI,59,29,30,21.4,7.5,33.5,17.9,2.1,3.81,3.5,0.224,0.4,0.2,0.8,1.083,0.545,0.75,16
Justin Anderson,DAL,55,28,27,11.8,3.8,16.9,10.7,0.6,2.16,1.07,0.224,0.2,0.1,0.5,0.444,0,0.821,16
James Michael McAdoo,GSW,41,37,4,6.4,2.9,12.8,7.4,0.3,1.51,0.38,0.224,1.4,0.4,2.2,0.357,0.5,0.674,16
Donatas Motiejunas,HOU,37,19,18,14.8,6.2,27.9,16.9,0.7,1.43,0.54,0.223,1.9,2.1,3,0.551,0.688,0.694,16
Dante Cunningham,NOP,80,28,52,24.6,6.1,27.1,18.1,0.7,1.54,0.36,0.223,0.9,0.1,1.3,0.394,0,0.804,16
Tristan Thompson,CLE,82,57,25,27.7,7.8,35.7,16.8,0.9,1.48,0.36,0.22,2.3,0.5,7.7,0.413,0.619,0.775,16
Jeff Teague,ATL,79,47,32,28.5,15.7,71.2,29.3,5.7,4.81,4.88,0.22,0.6,0.3,0.8,0.2,0.435,0.419,16
Bobby Portis,CHI,62,29,33,17.8,7,32.1,18.2,1,1.81,0.66,0.219,1.2,2.3,3.3,0.486,0.417,0.842,16
Mason Plumlee,POR,82,44,38,25.4,9.1,41.7,27,1.4,2.02,0.88,0.219,5.8,1.9,6,0.43,0.316,0.679,16
Pau Gasol,CHI,72,36,36,31.8,16.5,75.8,47.6,2.2,1.72,0.51,0.218,5.4,7.3,5.3,0.438,0.416,0.77,16
Meyers Leonard,POR,61,33,28,21.8,8.4,38.5,24.1,1,1.58,0.44,0.217,2.3,0.9,2.2,0.317,0.288,0.511,16
Derrick Rose,CHI,66,32,34,31.8,16.4,75.7,25.4,6,4.73,4.23,0.216,0.5,0.2,1.2,0.581,0.357,0.474,16
Dwight Powell,DAL,69,35,34,14.4,5.8,26.8,13.3,0.6,1.37,0.31,0.216,1.7,0.1,3.6,0.547,0.222,0.896,16
Archie Goodwin,PHX,57,14,43,19.5,8.9,41.1,18.4,3,4.34,3.82,0.216,0.5,0.1,1.1,0.385,0.4,0.75,16
Luis Scola,TOR,75,49,26,21.6,8.7,40.5,26.2,1.1,1.65,0.61,0.215,1.8,1.7,2.5,0.593,0.55,0.813,16
Robert Sacre,LAL,25,2,23,12.8,3.5,16.2,9.5,0.5,1.86,0.3,0.215,1.7,1.6,2.7,0.476,0.3,0.537,16
Kris Humphries,ATL,53,29,24,15.8,6.5,30.2,16.3,0.7,1.42,0.41,0.215,1.8,0.4,2.2,0.442,0.333,0.568,16
Matt Bonner,SAS,30,25,5,6.9,2.5,12,7,0.3,1.51,0.45,0.212,0.3,0.1,0.3,0.5,0,0.222,16
Zaza Pachulia,DAL,76,40,36,26.4,8.6,40.4,24.6,1.1,1.6,0.35,0.212,7,0.9,7.2,0.29,0.391,0.648,16
D'Angelo Russell,LAL,80,17,63,28.2,13.2,62.6,24.1,5.1,4.94,4.38,0.211,0.6,0.6,1.2,0.42,0.673,0.724,16
Trey Burke,UTA,64,31,33,21.3,10.6,50.2,21.4,3.9,4.64,4.78,0.211,0.4,0,0.2,0.25,0,0.286,16
Toney Douglas,NOP,61,22,39,20.7,8.7,41.5,17.6,3.1,4.43,4.66,0.21,0.3,0.1,0.5,0.526,1,0.727,16
Jerami Grant,PHI,77,9,68,26.8,9.7,46.2,29.2,1.4,1.85,0.85,0.21,2.5,1.6,3.4,0.258,0.467,0.708,16
Alonzo Gee,NOP,73,27,46,22.4,4.5,21.3,15,0.7,1.87,0.91,0.209,0.4,0.1,1.9,0.656,0,0.662,16
Monta Ellis,IND,81,44,37,33.8,13.8,66.1,35,4.4,4.03,3.18,0.209,0.7,0.2,0.8,0.611,0.353,0.934,16
Jason Terry,HOU,72,37,35,17.5,5.9,28,14.8,1.3,2.83,2.2,0.209,0.2,0,0.2,0.417,0,0.364,16
Jerryd Bayless,MIL,52,21,31,28.9,10.4,49.8,25.6,3.3,3.96,3.32,0.209,0.4,0,0.4,0.095,0,0.632,16
Jared Cunningham,CLE,44,31,13,9.3,2.7,13.1,6.9,0.8,3.54,3.22,0.208,0.3,0,0.3,0.733,0,0.6,16
Rasual Butler,SAS,46,41,5,9.4,2.7,13,9.7,0.4,1.86,0.7,0.207,0.3,0.1,0.3,0.75,0,1.071,16
Iman Shumpert,CLE,54,39,15,24.4,5.8,27.9,18.6,1.2,2.52,1.91,0.207,0.5,0,0.7,0.6,0,0.256,16
Marvin Williams,CHA,81,47,34,28.9,11.7,56.6,28.3,1.2,1.26,0.36,0.207,1.3,0.9,2.3,0.407,0.694,0.75,16
Roy Hibbert,LAL,81,17,64,23.2,5.9,28.8,17.1,0.9,1.81,0.39,0.206,2.5,3.3,4.3,0.255,0.415,0.653,16
Channing Frye,CLE,69,35,34,17.1,6.1,29.8,16.9,0.7,1.39,0.27,0.206,0.7,0.6,1.1,0.122,0.762,0.74,16
Brian Roberts,POR,51,26,25,9.2,4,19.5,7.4,1.8,5.49,5.39,0.206,0.1,0,0.2,0,0,1.111,16
Luis Montero,POR,12,6,6,3.5,1.2,5.7,4.3,0.3,2.7,1.81,0.206,0.1,0,0,0,0,0,16
Luc Mbah a Moute,LAC,75,49,26,17,3.1,15,9.2,0.4,1.51,0.56,0.205,0.7,0.1,2,0.388,0,0.517,16
Cole Aldrich,LAC,60,41,19,13.3,5.5,26.7,13.6,0.7,1.48,0.27,0.204,3.3,1,4.8,0.59,0.246,0.846,16
Reggie Bullock,DET,37,22,15,11.6,3.3,16.2,9,0.4,1.56,0.46,0.204,0.3,0,0.5,0.4,0,0.333,16
Aaron Brooks,CHI,69,36,33,16.1,7.1,34.8,12.1,3.1,5.29,5.39,0.204,0.1,0,0.2,0.2,0,0.118,16
Chris Andersen,MEM,27,11,16,14.9,3.9,19.1,9.4,0.5,1.52,0.23,0.203,1.9,0.3,2.7,0.558,0,0.603,16
Julius Randle,LAL,81,17,64,28.2,11.3,55.9,26.6,2.3,2.52,1.23,0.203,2.7,2.5,4.2,0.546,0.348,0.793,16
Chris McCullough,BKN,24,7,17,15.1,4.7,23,9.6,0.6,1.47,0.43,0.203,0.8,0.4,2,0.444,0.222,0.438,16
Chris Johnson,UTA,70,38,32,12.2,2.9,14.5,11,0.5,1.98,1.06,0.203,0.2,0,0.4,0.083,0,0.742,16
Ryan Kelly,LAL,36,3,33,13.1,4.2,20.9,10.9,0.6,1.73,0.65,0.202,0.7,0.6,1,0.84,0.45,1,16
John Wall,WAS,77,37,40,36.2,19.9,98.4,36.5,8.2,4.99,4.48,0.202,0.7,0.1,0.8,0.471,0.364,0.597,16
Ian Clark,GSW,66,59,7,8.8,3.6,17.7,10.6,1,3.36,2.9,0.202,0.2,0,0.4,0.467,0,0.808,16
Sasha Kaun,CLE,25,18,7,3.8,0.9,4.6,2.9,0.1,1.58,0.46,0.202,0.6,0.3,1,0,0,0.6,16
Delon Wright,TOR,27,19,8,8.5,3.8,19,8.4,1.8,5.54,5.41,0.201,0.2,0,0.4,1.2,0,0.545,16
Marcus Smart,BOS,61,36,25,27.3,9.1,45.5,24.3,2.4,3.18,2.62,0.201,0.6,1,2.4,0.412,0.407,0.708,16
Ed Davis,POR,81,43,38,20.8,6.5,32.3,14.5,0.9,1.62,0.43,0.201,3.8,0.5,5.9,0.349,0.475,0.773,16
Nerlens Noel,PHI,67,10,57,29.3,11.1,55.5,31.4,1.6,1.72,0.68,0.201,5.2,2.7,7.5,0.314,0.321,0.933,16
Dennis Schroder,ATL,80,47,33,20.3,11,54.6,23.4,4.6,5.02,4.49,0.201,0.5,0.1,0.6,0.278,0.5,0.5,16
Mitch McGary,OKC,20,17,3,3.6,1.3,6.5,3.3,0.2,1.74,0.51,0.2,0.6,0.3,0.7,0.545,0.8,0.571,16
Sergey Karasev,BKN,40,9,31,10,2.4,12.2,8.8,0.4,2.06,1.27,0.2,0.3,0.1,0.4,0.5,0,1.133,16
Aaron Harrison,CHA,21,15,6,4.4,0.9,4.3,2.8,0.2,2.59,1.97,0.2,0,0,0.2,0,0,0.5,16
Jordan Mickey,BOS,16,9,7,3.6,1.3,6.6,3.9,0.2,1.48,0.22,0.198,0.3,0.3,1.3,0,0.6,0.81,16
Rondae Hollis-Jefferson,BKN,29,7,22,21.2,5.8,29.2,16.9,1.1,2.2,1.29,0.197,0.7,0.8,2.2,1.053,0.261,0.603,16
Matt Barnes,MEM,76,38,38,28.8,10,50.8,30.2,1.6,1.85,0.68,0.196,1.6,0.4,2.3,0.419,0.31,0.798,16
Mo Williams,CLE,41,27,14,18.2,8.2,42.3,16.5,3.7,5.23,5.36,0.195,0.3,0,0.3,0.429,0,0.667,16
Bismack Biyombo,TOR,81,55,26,22.1,5.5,28.1,13.2,0.7,1.55,0.27,0.195,1.6,0.3,5.2,0.382,0.583,0.735,16
J.J. Barea,DAL,74,38,36,22.5,10.9,56,23.1,4.7,5.06,5.1,0.195,0.4,0.1,0.4,0.357,0.4,0.563,16
Greg Smith,MIN,18,8,10,10.7,2.4,12.3,7.2,0.3,1.57,0.34,0.195,1.6,0.2,2.4,0.241,0.667,0.659,16
Evan Turner,BOS,80,46,34,28,10.6,54.6,27,3.6,4,3.3,0.194,0.7,1.3,1.3,0.481,0.654,0.651,16
Tim Duncan,SAS,61,50,11,25.2,8.6,44.1,28.6,1.2,1.69,0.43,0.194,5.6,3.8,6.6,0.254,0.532,0.734,16
Josh Smith,HOU,55,31,24,16,6,31.4,18.6,1.1,2.06,0.88,0.192,1.8,1,2.2,0.327,0.386,0.496,16
Mike Conley,MEM,56,33,23,31.4,15.3,80.1,31.9,7,5.25,5.09,0.191,0.8,0,0.9,0.489,0,0.788,16
Cameron Payne,OKC,57,44,13,12.2,5,26.2,10,2.4,5.47,5.14,0.19,0.1,0,0.2,0.667,0,0.286,16
Mario Chalmers,MIA,61,38,23,22.5,10.3,54.4,19,4.8,5.3,5.18,0.189,0.3,0.1,0.8,0.6,1,0.674,16
Solomon Hill,IND,59,31,28,14.7,4.2,22.1,12.2,0.7,1.95,0.95,0.189,0.5,0.5,1.2,0.448,0.467,0.822,16
Jeff Withey,UTA,51,25,26,12.9,4.3,22.5,14.3,0.5,1.44,0.35,0.189,2.6,0.4,3,0.267,0,0.831,16
PJ Tucker,PHX,82,23,59,31,8,42.1,31.2,1.4,1.96,0.93,0.189,0.8,1.2,3.1,0.254,0.245,0.677,16
D.J. Augustin,DEN,62,35,27,19,7.5,39.8,14.2,3.9,5.84,6.31,0.189,0.1,0,0.2,0,0,0.909,16
Mike Muscala,ATL,60,34,26,9.4,3.3,17.3,10.7,0.4,1.3,0.3,0.188,1.3,0.4,2.2,0.25,0.273,0.628,16
Tyler Johnson,MIA,36,19,17,24,8.7,46.8,22.5,3.1,3.98,3.69,0.187,0.5,0.1,1.3,0.474,0,0.745,16
DeJuan Blair,WAS,29,12,17,7.5,2.1,11.3,6.4,0.3,1.48,0.42,0.187,1.6,0.5,1.8,0.391,0.143,0.692,16
Anthony Brown,LAL,29,4,25,20.6,4,21.2,16.6,0.7,2.01,0.91,0.187,0.3,0.1,0.3,0.222,0,0.222,16
Tyreke Evans,NOP,25,11,14,30.6,15.2,81.3,36,6.4,4.72,4.24,0.187,1.1,1.2,1.4,0.222,0.367,0.514,16
Randy Foye,OKC,81,37,44,20.3,5.9,31.3,15.7,2.3,4.39,4.01,0.187,0.1,0,0.3,0,0,0.429,16
Tarik Black,LAL,39,6,33,12.7,3.4,18.4,8.4,0.5,1.64,0.36,0.186,1.9,0.6,3.3,0.347,0.458,0.701,16
Norris Cole,NOP,45,20,25,26.6,10.6,57,23.6,4,4.21,3.9,0.186,0.3,0,0.3,0.167,0,0.429,16
Josh Richardson,MIA,52,29,23,21.3,6.6,35.4,17,2.5,4.15,3.72,0.185,0.2,0,0.6,0.667,0,0.633,16
O.J. Mayo,MIL,41,17,24,26.6,7.8,42.6,24.7,2,2.77,2.07,0.184,0.5,0.3,0.5,0.15,0.429,0.364,16
Thomas Robinson,BKN,71,16,55,12.9,4.3,23.6,10.8,0.7,1.87,0.67,0.183,2,0.5,3.8,0.389,0.243,0.731,16
Thabo Sefolosha,ATL,75,42,33,23.4,6.4,35.3,23.1,1.2,2.13,1.13,0.182,0.7,0.2,2,0.648,0.333,0.793,16
Amir Johnson,BOS,78,44,34,22.8,7.3,40.4,24.1,0.9,1.37,0.46,0.182,1.9,1.2,5.6,0.428,0.451,0.839,16
Tyson Chandler,PHX,66,18,48,24.5,7.2,39.4,21.6,1,1.54,0.33,0.181,3.8,0.9,7.4,0.195,0.452,0.816,16
Patty Mills,SAS,81,66,15,20.5,8.5,47,21.8,3,3.82,4.14,0.181,0.4,0,0.8,0.031,0,0.742,16
Anthony Tolliver,DET,72,36,36,18.6,5.3,29.7,15.2,0.7,1.34,0.29,0.179,1.6,0,0.9,0.122,0,0.419,16
Damjan Rudez,MIN,33,9,24,8.4,2.3,12.7,6.7,0.3,1.5,0.46,0.179,0.3,0.1,0.4,0,0,0.929,16
Kevin Seraphin,NYK,48,15,33,11,3.9,21.9,12.5,0.7,1.87,0.42,0.178,2.4,3.8,2.5,0.404,0.344,0.653,16
Steven Adams,OKC,80,54,26,25.2,8,45,17.8,1,1.36,0.24,0.177,3.5,0.9,8,0.432,0.589,0.748,16
Trey Lyles,UTA,80,38,42,17.3,6.1,34.4,22,1,1.68,0.55,0.177,2,0.8,1.6,0.276,0.097,0.615,16
Patrick Beverley,HOU,71,35,36,28.7,9.9,56,23.7,3.4,3.62,3.13,0.176,0.7,0.1,1.2,0.354,0.4,0.437,16
Tony Parker,SAS,72,59,13,27.5,11.9,67.7,25.9,6.2,5.48,5.88,0.176,0.7,0.1,0.8,0.327,1,0.77,16
Frank Kaminsky,CHA,81,47,34,21.1,7.5,42.8,20.6,1,1.45,0.45,0.175,1.5,1.2,2,0.151,0.48,0.856,16
Joe Young,IND,41,19,22,9.4,3.8,21.6,7.2,2,5.66,5.85,0.174,0.2,0,0.2,0.714,0,0.4,16
Emmanuel Mudiay,DEN,68,29,39,30.4,12.8,73.7,27.4,6,4.89,4.61,0.174,0.8,0.7,0.9,0.4,0.42,0.667,16
Boris Diaw,SAS,76,64,12,18.2,6.4,36.8,23.6,1.3,2.07,1.03,0.174,2,4.1,2.3,0.129,0.538,0.665,16
Kyle O'Quinn,NYK,65,26,39,11.8,4.8,27.5,15.6,0.9,1.87,0.32,0.173,3.3,2.3,2.5,0.29,0.295,0.791,16
Sasha Vujacic,NYK,61,22,39,14.9,4.9,28.1,19,1.2,2.65,2.07,0.173,0.4,0,0.2,0.08,0,0.267,16
Goran Dragic,MIA,72,44,28,32.8,14.1,82.3,32.8,6.7,4.91,5.07,0.172,1.1,0.1,1.5,0.461,0.8,0.664,16
Jeff Ayres,LAC,17,11,6,6.3,1.8,10.2,4.2,0.3,1.62,0.2,0.172,0.8,0.2,1.2,0.429,0,0.857,16
Draymond Green,GSW,81,73,8,34.7,14,81.8,44.8,2.9,2.14,1.22,0.171,2.2,5.6,4.1,0.525,0.194,0.803,16
Cameron Bairstow,DET,18,4,14,5.7,1.9,11.1,6.3,0.3,1.47,0.47,0.171,0.8,0.5,0.6,0.5,0.556,0.4,16
Danny Green,SAS,79,65,14,26.1,7.2,42.4,27,1.3,1.91,0.95,0.171,0.6,0,1.1,0.34,0,0.69,16
Raymond Felton,DAL,80,40,40,27.4,9.5,55.7,29.4,3.8,4.06,3.6,0.171,0.7,0,0.7,0.305,0,0.635,16
Cristiano Felicio,CHI,31,14,17,10.3,3.4,20,11.4,0.5,1.64,0.35,0.17,1.4,0.2,2.2,0.674,0,0.897,16
Jared Dudley,WAS,81,40,41,25.9,7.9,46.2,23.8,1.1,1.41,0.48,0.17,1.2,0.4,1.6,0.383,0.161,0.527,16
George Hill,IND,74,41,33,34.1,12.1,71.5,26.9,5.5,4.61,4.24,0.169,0.6,0.4,1.3,0.644,0.226,0.773,16
Andre Iguodala,GSW,65,59,6,26.6,7,41.5,25.6,2,2.91,1.98,0.169,0.8,0.6,1.8,0.308,0.359,0.735,16
Jason Thompson,TOR,47,38,9,10,3.1,18.5,10.4,0.5,1.52,0.43,0.169,1.3,1.4,1.4,0.305,0.453,0.758,16
Pat Connaughton,POR,34,17,17,4.2,1.1,6.3,4.4,0.3,2.95,2.08,0.168,0.1,0.1,0.4,1,0.5,0.167,16
