PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Donovan Mitchell,UTA,79,46,33,33.4,20.5,61.2,35.2,4.4,4.27,3.8,0.334,0.7,0.1,1,0.69,0,0.927,18
Luke Kennard,DET,73,34,39,20,7.6,22.9,18.9,1,2.61,1.7,0.334,0.7,0,0.6,0.694,0,0.535,18
OG Anunoby,TOR,74,51,23,20,5.9,18,13,0.5,1.76,0.97,0.33,0.2,0.1,1,0.647,0.167,0.944,18
Jonathon Simmons,ORL,69,21,48,29.4,13.9,42.3,30.4,2.5,3.48,2.87,0.329,0.9,0.7,1.4,0.508,0.56,0.704,18
Troy Williams,NYK,21,7,14,14.6,6.3,19.2,14.3,0.5,1.69,0.74,0.329,0.4,0,1.7,1.125,0,0.829,18
Alfonzo McKinnie,TOR,14,13,1,3.8,1.5,4.6,2.9,0.1,1.84,0.95,0.328,0,0,0.1,0,0,2,18
James Ennis III,DET,71,24,47,22.1,7,21.4,16.6,0.8,2.19,1.2,0.328,0.5,0.1,1.7,1,0.4,0.863,18
Jeff Green,CLE,78,47,31,23.4,10.8,33.1,18.1,1.4,2.55,1.53,0.328,0.9,1.3,2.3,0.535,0.615,1.006,18
Johnathan Motley,DAL,11,1,10,16,8.7,26.6,17,0.9,2,0.8,0.328,3.1,2,3.6,0.588,0.636,1.025,18
Damian Lillard,POR,73,44,29,36.6,26.9,82.2,30.1,7.9,5.75,5.33,0.327,0.5,0,0.8,0.615,1,0.695,18
Jodie Meeks,WAS,77,41,36,14.5,6.3,19.3,14.9,0.6,1.82,1.3,0.327,0.3,0,0.2,0.385,0,1.059,18
Jayson Tatum,BOS,77,50,27,30.7,13.9,42.7,27.3,1.8,2.53,1.58,0.326,0.6,0.9,1.4,0.614,0.515,0.954,18
Corey Brewer,OKC,72,32,40,16.8,5.3,16.2,10.2,0.5,1.98,1.26,0.325,0.4,0,1.1,0.519,0,0.671,18
Tim Hardaway Jr.,NYK,57,19,38,33.1,17.5,53.9,39.9,2.2,2.49,1.45,0.324,1.1,0,1.2,0.823,0,1.086,18
Bradley Beal,WAS,82,43,39,36.3,22.6,70.2,43,4.6,3.94,3.27,0.323,0.8,0.4,1.4,0.563,0.484,0.766,18
E'Twaun Moore,NOP,80,47,33,31.6,12.6,39.1,27.7,1.5,2.25,1.62,0.323,1.2,0.2,1.9,0.674,0.647,1.032,18
Josh Hart,LAL,63,27,36,23.2,7.9,24.4,15.2,1,2.37,1.6,0.323,0.4,0.1,1,0.778,0,0.631,18
Bryn Forbes,SAS,80,46,34,19,6.9,21.5,16.4,0.8,2.33,1.74,0.322,0.3,0,0.2,0.333,0,0.692,18
Marco Belinelli,PHI,79,39,40,24.3,12.2,38,30.9,1.3,2.12,1.21,0.322,0.7,0,1.1,0.732,0,1.083,18
Kyrie Irving,BOS,57,38,19,32.2,24.4,76,29.9,6.1,4.82,4.47,0.321,1,0.5,1.1,0.729,0.645,0.831,18
Wayne Selden,MEM,35,10,25,19.8,9.3,29.1,23.1,1.5,3.03,2.24,0.32,0.3,0,0.5,0.5,0,0.632,18
Alex Abrines,OKC,72,42,30,15.1,4.7,14.9,9.4,0.5,1.93,1.15,0.318,0.2,0,0.4,0.667,0,0.692,18
Harrison Barnes,DAL,77,24,53,34.2,18.9,59.2,36.3,2.5,2.49,1.41,0.318,1.2,4.5,1.7,0.684,0.49,0.896,18
Julius Randle,LAL,82,35,47,26.7,16.1,51.1,29.4,2.2,2.61,1.35,0.316,3.1,4.6,5.5,0.563,0.467,0.978,18
Danuel House Jr.,PHX,23,6,17,17.5,6.6,21,14.7,0.7,2.13,1.17,0.315,0.5,0.1,1,0.636,0,1.042,18
Kentavious Caldwell-Pope,LAL,74,31,43,33.2,13.4,42.6,24.1,1.7,2.33,1.65,0.315,0.6,0,1.3,0.561,0,0.811,18
LeBron James,CLE,82,50,32,36.9,27.5,87.1,42.5,6.7,4.64,3.48,0.315,1.5,4.4,3.9,0.728,0.387,0.991,18
Giannis Antetokounmpo,MIL,74,39,35,36.7,26.8,85.7,45.2,4.8,3.33,2.32,0.313,4.7,3.9,5.3,0.489,0.418,1.064,18
Khris Middleton,MIL,81,44,37,36.4,20.2,64.5,36.9,3.1,2.91,2.11,0.313,1.4,1.5,1,0.412,0.624,0.8,18
Trevor Ariza,HOU,66,51,15,33.8,11.8,37.8,26.4,1.1,1.8,0.87,0.312,0.3,0.1,0.8,0.739,0.286,0.404,18
Michael Beasley,NYK,73,23,50,22.1,13,41.8,26.4,1.5,2.11,0.94,0.31,4.1,3.6,3.1,0.567,0.541,0.934,18
Courtney Lee,NYK,75,26,49,30.4,11.9,38.5,29.3,1.8,2.78,1.91,0.309,0.9,0,0.9,0.515,2,0.8,18
Bobby Portis,CHI,73,25,48,22.5,13.2,43,27.3,1.3,1.76,0.85,0.307,2.2,2.6,4.3,0.364,0.613,0.889,18
Dakari Johnson,OKC,29,21,8,5,1.9,6.1,4.2,0.2,1.89,0.59,0.307,0.4,0.5,0.9,0.308,0.867,0.577,18
Jahlil Okafor,BKN,28,7,21,12.6,6.3,20.5,14.4,0.8,2.23,1.09,0.307,2.3,3,2.8,0.609,0.524,0.873,18
